Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7922655715263518,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.21088904203997244,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4478510813030386,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.18756423432682426,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3370998116760829,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5179414542020774,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.32194557035321364,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5990950226244344,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8032293377120964,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7631782945736434,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7273472734727348,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8521556657764212,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
391,bf5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.817651632970451,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.19962511715089035,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4595035924232528,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2397293378443693,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3213734567901235,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.521978021978022,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3246689553702796,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5951776649746193,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7946867825516563,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7661993179234559,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7177502579979359,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8554121151936445,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
390,c05ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7931149732620321,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.21604938271604934,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4401650618982118,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.24031387935262385,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3459220570510245,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5449939686369121,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3190214677983025,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5838150289017341,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7930298719772404,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7538759689922481,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7027173913043478,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8524522881182024,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
389,c15ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8014629049111808,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.21600000000000003,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4809138230190862,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2331460674157303,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3326778105539168,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5591347284269927,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3008905852417303,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.6173913043478261,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8043352601156071,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7658516369664319,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7296027338744127,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8494239173619388,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
388,c25ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8201754385964912,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.21094369547977795,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4432924913603519,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2686965811965812,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3203917453655124,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5221886031265759,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2966101694915254,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5766081871345029,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7948323592740695,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8089249492900609,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7220200181983621,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8553549446040213,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
387,c45ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8145933014354066,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.1828512396694215,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
386,c55ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4222386405615072,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
