Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.22045454545454546,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.27848101265822783,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.487888198757764,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.24961160020714654,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.568359375,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7743229689067201,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7373162636320532,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6859504132231405,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8493329845670939,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7647515527950309,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2155688622754491,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4212939378502292,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2281839622641509,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3215273934698395,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5045509708737864,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2723470987977,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5588785046728972,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8009141696292534,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7597684515195369,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7031756318859365,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8352754237288136,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
393,893e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7757847533632287,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.23214285714285715,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4164719626168225,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.226219512195122,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.34401114206128136,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5205298013245033,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
392,8a3e4dfc-23b6-e811-a2c0-c4346bcb7275,0.3212151394422311,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
